Country,Tier (1-3),Region,Rationale
Yemen,1,MENA,Long-standing UAE humanitarian commitment; Coalition operations and reconstruction
Sudan,1,Africa,Major ongoing conflict; humanitarian corridor; Red Sea strategic interest
Palestine (Gaza),1,MENA,Humanitarian crisis; UAE major donor to Gaza reconstruction
Syria,1,MENA,Post-conflict reconstruction; refugee return; reopened relations
Lebanon,1,MENA,Humanitarian needs; political stabilization
Egypt,1,MENA,Strategic partner; regional stabilization
Jordan,1,MENA,Refugee-hosting partner; close bilateral ties
Iraq,1,MENA,Reconstruction; minority protection
Libya,1,MENA,Stabilization; humanitarian needs
Afghanistan,2,South Asia,Humanitarian assistance; women's & girls' programs
Pakistan,2,South Asia,Disaster response history; Muslim partner state
Somalia,2,Africa,Famine & conflict; Horn of Africa strategic
Ethiopia,2,Africa,Conflict recovery; Horn of Africa
Bangladesh,2,South Asia,Rohingya refugees; climate disasters
Indonesia,2,Southeast Asia,Disaster response; Muslim-majority partner
Türkiye,2,MENA,Disaster response (earthquake); refugees
DR Congo,3,Africa,Humanitarian crisis; African Union ties
Myanmar,3,Southeast Asia,Rohingya situation; humanitarian access
South Sudan,3,Africa,Food insecurity; conflict
Mali,3,Africa,Sahel humanitarian crisis
Burkina Faso,3,Africa,Sahel humanitarian crisis
Niger,3,Africa,Sahel humanitarian crisis
Mozambique,3,Africa,Cyclones; humanitarian needs
Haiti,3,Americas,Gang violence; humanitarian crisis
Ukraine,3,Europe,Conflict humanitarian needs (neutral channels)
